Org Comment,ISBN,Title,Author,Edition,Copyright,Publisher
Master DOC,9780156711425,A Passage to India,"Forster, E.M.",,1965,Harvest Books
Master DOC,9780192834140,The Tempest,"William Shakespeare, Stephen Orgel",Paper,1998,Oxford University Press
Master DOC,9780195112108,Sex and social justice,Martha Craven Nussbaum,paper,1999,oxford
Master DOC,9780195115017,Becoming attached: first relationships and how they shape our capacity to love,Robert Karen Ph. D,,1994,oxford university press
DOC done,9780195119039,"The craft of inquiry: theories, methods, evidence",,,,
Master PDF,9780195126358,A March of Liberty: From the founding to 1890,Urotsky,2,2001,Oxford University Press
Only body included in DOC,9780195139792,The Heart and the Fountain: An Anthology of Jewish Mystical Experiences,Joseph Dan,,,
Master DOC & PDF,9780195145816,Philosophy of mind: classical and contemporary readings,"Chalmers, David J.",Paper,2002,Oxford University Press
Master DOC,9780195146516,Debating diversity: clashing perspectives on race and ethnicity in America,Takaki,3,2002,Oxford University Press
DOC done,9780195160451,Juvenile Justice in the making,"Tanenhaus, David",,2004,Oxford University Press
Book not listed in the course folder,9780195167641,Gender Through the Prism of Difference,"Zinn, Maxine Baca",3rd,,Oxford University Press
Book not listed in the course folder,9780195179606,Leading Issues in Economic Development,"Meier, Gerald M.",8th,2004,Oxford University Press
Master DOC,9780195172720,Silent Covenants: Brown V. Board of Education and the Unfulfilled Hopes for Racial Reform,"Bell, Derrick",Paper,2004,Oxford University Press
Some DOCs are missing,9780195284782,"The new Oxford annotated Bible: with the Apocryphal/Deuterocanonical books, Issue 43","Coogan, Michael D.",3rd,2001,Oxford University Press
Book not listed in the course folder,9780199260584,Introduction to international relations: theories and approaches,Jackson & Sorensen,2nd,2003,Oxford university Press
KES done,9780205353118,Social Research Methods,bryman,5th,2004,Oxford
PDF done,9780201741193,Data abstraction and problem solving with C++: walls and mirrors,"Frank M. Carrano, Janet Prichard",3rd,2002,Addison Wesley Professional
Master DOC,9780205324736,Theories in counseling and therapy: an experiential approach,Kottler,1st,2001,Allyn & Bacon
Master DOC,9780205347728,Family interaction: a multigenerational development perspective,Anderson,3rd,2003,Allyn and Bacon (Pearson)
Master PDF,9780205361076,"Introduction to Video Production: Studio, Field, and Beyond",Compesi,paperback,2005,Allyn & Bacon
Book not listed in the course folder,9780205372478,Educational research: fundamentals for the consumer,"McMillan, James H.",4,2003,Pearson Education
PDF done,9780205503476,Social Welfare: Politics and Public Policy: with Research Navigator,"DiNitto, Diana M.",6th,2003,Allyn & Bacon
DOC & TXT done,9780205376063,An introduction to group work practice,"Toseland, Ronald W.",5th,2004,"Allyn 
Allyn & Bacon"
Master DOC,9780205396771,Developing your theoretical orientation in counseling and psychotherapy,Halbur and Halbur,,2005,Allyn & Bacon
Master DOC,9780205411863,Lives across cultures: cross-cultural human development,Gardiner & Kosmitzki,3rd,2004,Allyn & Bacon
DOC,9780205419357,Making contact: the therapist's guide to conducting a successful first interview,"DeSole, L.M.",1st,2006,Allyn & Bacon
DOC done,9780205454624,Discovering Child Development,Fabes,3rd,,Pearson
Master PDF & TXT,9780205480715,"SPSS for Windows step by step: a simple guide and reference, 13.0 update",GEORGE,6,2006,Pearson Higher Education
Master PDF,9780205493944,Classrooms That Work: They Can All Read and Write,"Cunningham, Patricia M.",4th,2006,Allyn & Bacon
"PDF, DOC, MP3",9780226142647,Intimate matters: a history of sexuality in America,demilio,paper,1997,Chicago
Master DOC,9780226278605,An interpretation of desire: essays in the study of sexuality,"Gagnon, John H.",Paper,2004,University of Chicago Press
DOC done; Master PDF & TXT,9780226280653,Freaks Talk Back: Tabloid Talk Shows and Sexual Nonconformity,GAMSON,2nd,1998,University of Chicago Press
DOC done,9780230006690,Global political economy: evolution and dynamics,"O'Brien, Robert",2nd,2007,Palgrave Macmillan
Book not listed in the course folder,9780240519210,Choosing and using audio and music software: a guide to the major software packages for Mac and PC,"Collins, Mike",,2004,Focal Press (Elsevier)
KES done; Master TIF,9780253203809,The Imaginary Signifier: Psychoanalysis and the Cinema,Christian Metz,,,Indiana University Press
DOC done,9780271026763,"The infortunate: the voyage and adventures of William Moraley, an indentured servant",Klepp,2,2005,Pennsylvania State University
Master DOC & PDF,281433307720B,Human Physiology Lab Manual (CR),Manuguid,Paper,,SFSU Bookstore
Master DOC & PDF,0281433307939,BUS 887.01 Course Reader,,,,
Master DOC & PDF,9780292701922,HOMEGIRLS IN THE PUBLIC SPHERE,Marie Miranda,,2003,University of Texas Press
